Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,Providence University,3.81,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A